contrast	name	fdr_threshold	dge_database	dge_db_table	dge_plot_database	dge_plot_db_table	dge_plot_rows	dge_full_rows
CD_Transverse_vs_Healthy_Colon	CD Transverse vs Healthy Colon	6.0027882687211e-10	host/db/dge/CD_Transverse_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
CD_Transverse_vs_Healthy_Ileum_No	CD Transverse vs Healthy Ileum No	2.39676466917845e-11	host/db/dge/CD_Transverse_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4999	68391
CD_Transverse_vs_Healthy_Sigmoid	CD Transverse vs Healthy Sigmoid	0.1	host/db/dge/CD_Transverse_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	3750	68391
CD_Transverse_vs_UC_Ileum_No	CD Transverse vs UC Ileum No	4.53989321995488e-13	host/db/dge/CD_Transverse_vs_UC_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_UC_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
CD_Transverse_vs_UC_Transverse	CD Transverse vs UC Transverse	0.1	host/db/dge/CD_Transverse_vs_UC_Transverse.sqlite.gz	host_dge	host/db/dge_plot/CD_Transverse_vs_UC_Transverse.sqlite.gz	host_dge_plot	3809	68391
Healthy_Cecum_vs_CD_Ileum_No	Healthy Cecum vs CD Ileum No	6.19736365440635e-20	host/db/dge/Healthy_Cecum_vs_CD_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/Healthy_Cecum_vs_CD_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
Healthy_Cecum_vs_CD_Transverse	Healthy Cecum vs CD Transverse	0.1	host/db/dge/Healthy_Cecum_vs_CD_Transverse.sqlite.gz	host_dge	host/db/dge_plot/Healthy_Cecum_vs_CD_Transverse.sqlite.gz	host_dge_plot	3969	68391
Healthy_Cecum_vs_Healthy_Colon	Healthy Cecum vs Healthy Colon	4.43639054618397e-11	host/db/dge/Healthy_Cecum_vs_Healthy_Colon.sqlite.gz	host_dge	host/db/dge_plot/Healthy_Cecum_vs_Healthy_Colon.sqlite.gz	host_dge_plot	4999	68391
Healthy_Cecum_vs_Healthy_Ileum_No	Healthy Cecum vs Healthy Ileum No	1.24816598881435e-12	host/db/dge/Healthy_Cecum_vs_Healthy_Ileum_No.sqlite.gz	host_dge	host/db/dge_plot/Healthy_Cecum_vs_Healthy_Ileum_No.sqlite.gz	host_dge_plot	4998	68391
Healthy_Cecum_vs_Healthy_Sigmoid	Healthy Cecum vs Healthy Sigmoid	0.1	host/db/dge/Healthy_Cecum_vs_Healthy_Sigmoid.sqlite.gz	host_dge	host/db/dge_plot/Healthy_Cecum_vs_Healthy_Sigmoid.sqlite.gz	host_dge_plot	4078	68391
